BSSID,RxPhy,dataset,CID,Wi-Fi Ookla DL,Gate / Landmark,BW ,Cellular Ookla UL,Wi-Fi Ookla RTT,SSID,TAC,TA,Channel,Channel.1,Wi-Fi Ookla UL,Lat,RSRQ,RSRP,Long,TxPhy,PCI,EARFCN,Time,Cellular Ookla RTT,MNC,RSSI,MCC,Cellular Ookla DL,Device Type
E8:43:B9:0F:72:6C,775,mock-dataset-3,97492,30,B7,20,15,71,Helium,38423,4,5.0,124,41,39.17585,-19,-103,-76.66905,885,66,700,2026-01-20 16:15:00,38,410,-86,310,182,android
5D:1A:F7:C4:38:9B,607,mock-dataset-1,97492,35,D16,20,30,35,Helium,38423,2,5.0,44,44,39.17578,-9,-91,-76.6689,716,66,700,2026-01-20 16:18:00,69,410,-75,310,173,android
A2:6E:85:D1:4C:F0,675,mock-dataset-2,97492,68,D32/D33,20,56,84,Helium,38423,0,5.0,48,22,39.1757,-19,-114,-76.6688,1010,66,700,2026-01-20 16:22:00,65,410,-82,310,38,ios
9B:3F:C8:57:E2:1A,191,mock-dataset-3,97492,123,D11,20,22,43,Helium,38423,1,5.0,36,2,39.17563,-18,-89,-76.66865,975,66,700,2026-01-20 16:26:00,88,410,-71,310,131,android
9B:3F:C8:57:E2:1A,746,mock-dataset-2,97492,46,C12,20,11,82,Helium,38423,1,5.0,153,36,39.17555,-7,-89,-76.66855,752,66,700,2026-01-20 16:29:00,49,410,-92,310,174,ios
9B:3F:C8:57:E2:1A,1183,mock-dataset-1,97492,144,E2,20,12,101,Helium,38423,1,2.4,1,44,39.17548,-13,-111,-76.66845,763,66,700,2026-01-20 16:33:00,80,410,-52,310,6,ios
9B:3F:C8:57:E2:1A,415,mock-dataset-3,97492,20,D29,20,9,80,Helium,38423,1,2.4,6,36,39.1754,-12,-113,-76.66835,503,92,700,2026-01-20 16:37:00,104,410,-78,310,110,android
9B:3F:C8:57:E2:1A,1194,mock-dataset-5,97492,143,E3,20,44,60,Helium,38423,0,2.4,11,16,39.17533,-23,-88,-76.66825,1130,92,700,2026-01-20 16:40:00,29,410,-80,310,86,ios
F2:8D:46:B1:C9:05,913,mock-dataset-3,97492,138,D42,20,32,61,Helium,38423,4,2.4,11,33,39.17525,-5,-86,-76.66815,457,92,700,2026-01-20 16:44:00,69,410,-79,310,168,android
2A:C7:5E:08:D3:9F,775,mock-dataset-1,97492,38,B10,20,18,84,Helium,38423,4,5.0,36,39,39.17518,-9,-104,-76.66805,809,92,700,2026-01-20 16:48:00,61,410,-76,310,80,ios
85:4B:F6:31:EA:7C,842,mock-dataset-4,97492,48,A16,20,34,78,Helium,38423,2,5.0,157,40,39.17505,-21,-108,-76.6678,121,92,700,2026-01-20 16:51:00,102,410,-92,310,99,ios
D9:02:8F:C5:67:3A,911,mock-dataset-2,97492,-7,B3,20,35,75,Helium,38423,0,5.0,116,22,39.17498,-1,-93,-76.6677,854,92,700,2026-01-20 16:55:00,90,410,-76,310,28,android
41:E8:B3:7D:0A:F6,425,mock-dataset-2,97492,7,E8/E10/E12,20,45,41,Helium,38423,4,5.0,124,37,39.1749,-10,-94,-76.6676,206,92,700,2026-01-20 16:59:00,92,410,-57,310,42,android
41:E8:B3:7D:0A:F6,886,mock-dataset-1,97492,162,B14,20,15,53,Helium,38423,3,5.0,44,48,39.17483,-21,-104,-76.6675,1108,92,700,2026-01-20 17:03:00,47,410,-81,310,107,ios
41:E8:B3:7D:0A:F6,1052,mock-dataset-2,97492,69,C13,20,13,101,Helium,38423,0,5.0,48,13,39.17475,-22,-99,-76.6674,856,92,700,2026-01-20 17:06:00,93,410,-62,310,34,ios
41:E8:B3:7D:0A:F6,658,mock-dataset-4,97493,168,A3,20,27,85,Helium,38423,0,2.4,1,0,39.17468,-13,-109,-76.6673,605,92,700,2026-01-20 17:10:00,77,410,-95,310,59,android
41:E8:B3:7D:0A:F6,870,mock-dataset-1,97493,147,A3,20,21,37,Helium,38423,0,2.4,6,38,39.1746,-4,-94,-76.6672,1034,92,700,2026-01-20 17:14:00,58,410,-68,310,94,ios
EA:36:81:CF:49:5D,1133,mock-dataset-1,97493,181,B4,20,26,86,Helium,38423,0,2.4,11,25,39.17445,-18,-101,-76.66695,509,92,700,2026-01-20 17:17:00,82,410,-75,310,29,ios
58:AD:F2:17:6B:C0,426,mock-dataset-5,97493,44,D20,20,49,56,Helium,38423,3,2.4,11,17,,-14,-105,,178,92,700,2026-01-20 17:21:00,45,410,-76,310,10,ios
1C:70:E9:34:A5:8F,728,mock-dataset-1,97493,4,D16,20,18,71,Helium,38423,0,2.4,1,50,,-5,-107,,324,92,700,2026-01-20 17:25:00,77,410,-79,310,4,android
CF:4A:85:D0:2E:73,984,mock-dataset-2,97493,183,A9,20,12,89,Helium,38423,3,2.4,6,47,,-7,-103,,735,104,700,2026-01-20 17:28:00,81,410,-65,310,109,android
72:B8:1D:69:F4:A6,459,mock-dataset-1,97493,71,D36,20,10,98,Helium,38423,2,2.4,1,19,,-8,-96,,1000,104,700,2026-01-20 17:32:00,87,410,-73,310,92,ios
AE:25:C0:7F:53:D9,1084,mock-dataset-5,97493,75,D4,20,44,69,Helium,38423,2,2.4,6,7,,-18,-88,,749,104,700,2026-01-20 17:36:00,96,410,-71,310,87,ios
39:F1:6C:B8:04:E2,359,mock-dataset-5,97493,80,D37,20,6,36,Helium,38423,3,2.4,11,14,,-19,-112,,912,104,700,2026-01-20 17:40:00,35,410,-83,310,40,ios
84:5E:A7:23:CF:10,814,mock-dataset-2,97493,112,E2,20,7,103,Helium,38423,1,2.4,11,33,,-4,-97,,174,104,700,2026-01-20 17:43:00,71,410,-63,310,178,ios
D0:79:32:EC:46:8B,714,mock-dataset-2,97493,85,D43,20,21,79,Helium,38423,4,5.0,36,45,,-6,-111,,148,104,700,2026-01-20 17:47:00,62,410,-82,310,146,ios
D0:79:32:EC:46:8B,322,mock-dataset-5,97493,9,D24,20,36,33,Helium,38423,0,5.0,157,6,,-13,-85,,750,104,700,2026-01-20 17:51:00,85,410,-86,310,125,ios
D0:79:32:EC:46:8B,946,mock-dataset-4,97493,123,D37,20,18,56,Helium,38423,1,5.0,116,40,,-15,-113,,1157,104,700,2026-01-20 17:54:00,99,410,-67,310,138,ios
D0:79:32:EC:46:8B,758,mock-dataset-3,97493,6,A8,20,26,62,Helium,38423,1,5.0,124,40,,-5,-89,,556,104,700,2026-01-20 17:58:00,95,410,-72,310,132,android
D0:79:32:EC:46:8B,136,mock-dataset-5,97493,152,A1,20,20,73,Helium,38423,4,5.0,44,21,,-23,-91,,777,104,700,2026-01-20 18:02:00,44,410,-62,310,17,android
D0:79:32:EC:46:8B,154,mock-dataset-5,97493,204,A16,20,-6,88,Helium,38423,1,5.0,48,1,,-15,-105,,859,215,700,2026-01-20 18:06:00,98,410,-89,310,12,ios
BA:57:08:F3:2C:95,333,mock-dataset-4,97493,82,D2,20,-8,86,Helium,38423,4,5.0,36,19,,-8,-94,,573,215,700,2026-01-20 18:09:00,86,410,-56,310,73,ios
0D:A2:7E:C1:68:DB,496,mock-dataset-4,97493,174,D24,20,29,77,Helium,38423,4,5.0,157,38,,-5,-106,,266,215,700,2026-01-20 18:13:00,57,410,-56,310,57,android
51:C9:B4:0A:E7:32,162,mock-dataset-4,97493,139,A11,20,38,81,Helium,38423,1,5.0,116,10,,-18,-109,,461,215,700,2026-01-20 18:17:00,38,410,-81,310,76,android
9E:34:DF:86:4B:C0,1009,mock-dataset-1,97493,114,A7,20,44,73,Helium,38423,3,5.0,124,42,,-1,-101,,811,215,700,2026-01-20 18:20:00,40,410,-71,310,44,android
C2:6B:10:F5:A9:47,1120,mock-dataset-5,97493,40,A2,20,31,57,Helium,38423,1,5.0,44,12,,-26,-109,,390,215,700,2026-01-20 18:24:00,80,410,-67,310,33,ios
3F:87:DC:24:91:E6,652,mock-dataset-1,97493,50,E4,20,26,92,Helium,38423,3,5.0,48,44,,-3,-103,,1042,215,700,2026-01-20 18:28:00,60,410,-57,310,58,android
78:A0:45:EB:1C:B9,275,mock-dataset-4,97493,184,D4,20,60,21,Helium,38423,4,5.0,36,12,,-19,-108,,119,215,700,2026-01-20 18:31:00,92,410,-82,310,48,ios
4A:7B:C2:9E:1D:F8,673,mock-dataset-4,97492,68,D43,20,55,77,Helium,38423,1,2.4,1,7,39.17615,-7,-89,-76.66945,144,66,700,2026-01-20 16:00:00,62,410,-86,310,130,ios
B3:2E:8A:D4:6F:01,166,mock-dataset-1,97492,118,C9,20,32,94,Helium,38423,0,5.0,36,5,39.17608,-7,-93,-76.66935,638,66,700,2026-01-20 16:04:00,44,410,-89,310,164,android
B3:2E:8A:D4:6F:01,839,mock-dataset-1,97492,66,D12,20,-5,64,Helium,38423,4,5.0,157,6,39.176,-18,-112,-76.66925,520,66,700,2026-01-20 16:07:00,37,410,-69,310,99,ios
B3:2E:8A:D4:6F:01,622,mock-dataset-4,97492,15,A8,20,5,60,Helium,38423,1,5.0,116,3,39.17593,-20,-100,-76.66915,791,66,700,2026-01-20 16:11:00,66,410,-90,310,155,android
E8:43:B9:0F:72:6C,775,mock-dataset-3,97492,24,D37,20,-4,63,Helium,38423,4,5.0,124,34,39.17585,-20,-103,-76.66905,885,66,700,2026-01-20 16:15:00,41,410,-86,310,178,ios
5D:1A:F7:C4:38:9B,607,mock-dataset-3,97492,27,D46/D47,20,18,23,Helium,38423,2,5.0,44,39,39.17578,-5,-89,-76.6689,716,66,700,2026-01-20 16:18:00,81,410,-74,310,163,ios
A2:6E:85:D1:4C:F0,675,mock-dataset-3,97492,74,D13,20,56,70,Helium,38423,0,5.0,48,10,39.1757,-16,-113,-76.6688,1010,66,700,2026-01-20 16:22:00,56,410,-82,310,37,ios
9B:3F:C8:57:E2:1A,191,mock-dataset-1,97492,116,C7,20,27,42,Helium,38423,1,5.0,36,11,39.17563,-19,-89,-76.66865,975,66,700,2026-01-20 16:26:00,72,410,-72,310,125,android
9B:3F:C8:57:E2:1A,746,mock-dataset-5,97492,44,B4,20,12,82,Helium,38423,1,5.0,153,33,39.17555,-5,-93,-76.66855,752,66,700,2026-01-20 16:29:00,39,410,-94,310,162,android
9B:3F:C8:57:E2:1A,1183,mock-dataset-2,97492,127,B13,20,2,88,Helium,38423,1,2.4,1,35,39.17548,-10,-109,-76.66845,763,66,700,2026-01-20 16:33:00,80,410,-56,310,12,android
9B:3F:C8:57:E2:1A,415,mock-dataset-3,97492,1,A6,20,4,94,Helium,38423,1,2.4,6,38,39.1754,-10,-113,-76.66835,503,92,700,2026-01-20 16:37:00,105,410,-84,310,105,android
9B:3F:C8:57:E2:1A,1194,mock-dataset-4,97492,141,D44/D45,20,43,75,Helium,38423,0,2.4,11,15,39.17533,-23,-90,-76.66825,1130,92,700,2026-01-20 16:40:00,29,410,-86,310,93,android
F2:8D:46:B1:C9:05,913,mock-dataset-5,97492,138,D46/D47,20,37,67,Helium,38423,4,2.4,11,39,39.17525,-4,-84,-76.66815,457,92,700,2026-01-20 16:44:00,68,410,-84,310,162,ios
2A:C7:5E:08:D3:9F,775,mock-dataset-2,97492,46,D30,20,2,96,Helium,38423,4,5.0,36,39,39.17518,-11,-104,-76.66805,809,92,700,2026-01-20 16:48:00,59,410,-72,310,88,ios
85:4B:F6:31:EA:7C,842,mock-dataset-1,97492,34,D11,20,41,77,Helium,38423,2,5.0,157,42,39.17505,-23,-107,-76.6678,121,92,700,2026-01-20 16:51:00,84,410,-87,310,96,android
D9:02:8F:C5:67:3A,911,mock-dataset-4,97492,2,C9,20,27,88,Helium,38423,0,5.0,116,36,39.17498,-7,-97,-76.6677,854,92,700,2026-01-20 16:55:00,95,410,-77,310,24,ios
41:E8:B3:7D:0A:F6,425,mock-dataset-2,97492,5,D7,20,42,49,Helium,38423,4,5.0,124,46,39.1749,-6,-93,-76.6676,206,92,700,2026-01-20 16:59:00,76,410,-61,310,45,ios
41:E8:B3:7D:0A:F6,886,mock-dataset-1,97492,157,D23,20,3,51,Helium,38423,3,5.0,44,44,39.17483,-18,-101,-76.6675,1108,92,700,2026-01-20 17:03:00,32,410,-85,310,105,android
41:E8:B3:7D:0A:F6,1052,mock-dataset-3,97492,67,E4,20,21,96,Helium,38423,0,5.0,48,5,39.17475,-22,-101,-76.6674,856,92,700,2026-01-20 17:06:00,100,410,-60,310,22,android
41:E8:B3:7D:0A:F6,658,mock-dataset-2,97493,158,A6,20,28,77,Helium,38423,0,2.4,1,5,39.17468,-11,-105,-76.6673,605,92,700,2026-01-20 17:10:00,88,410,-89,310,75,android
41:E8:B3:7D:0A:F6,870,mock-dataset-2,97493,133,C2,20,19,47,Helium,38423,0,2.4,6,58,39.1746,-5,-95,-76.6672,1034,92,700,2026-01-20 17:14:00,62,410,-71,310,96,ios
EA:36:81:CF:49:5D,1133,mock-dataset-5,97493,195,E6,20,33,92,Helium,38423,0,2.4,11,31,39.17445,-18,-100,-76.66695,509,92,700,2026-01-20 17:17:00,86,410,-77,310,36,android
58:AD:F2:17:6B:C0,426,mock-dataset-5,97493,48,D2,20,35,58,Helium,38423,3,2.4,11,19,,-13,-107,,178,92,700,2026-01-20 17:21:00,44,410,-79,310,13,android
1C:70:E9:34:A5:8F,728,mock-dataset-2,97493,6,A5,20,35,84,Helium,38423,0,2.4,1,41,,-4,-102,,324,92,700,2026-01-20 17:25:00,76,410,-82,310,14,ios
CF:4A:85:D0:2E:73,984,mock-dataset-2,97493,183,A4,20,4,84,Helium,38423,3,2.4,6,47,,-7,-99,,735,104,700,2026-01-20 17:28:00,79,410,-69,310,100,android
72:B8:1D:69:F4:A6,459,mock-dataset-4,97493,82,D37,20,20,87,Helium,38423,2,2.4,1,19,,-14,-96,,1000,104,700,2026-01-20 17:32:00,77,410,-72,310,92,android
AE:25:C0:7F:53:D9,1084,mock-dataset-3,97493,64,B6,20,48,71,Helium,38423,2,2.4,6,18,,-19,-89,,749,104,700,2026-01-20 17:36:00,81,410,-74,310,105,android
39:F1:6C:B8:04:E2,359,mock-dataset-5,97493,86,D11,20,10,43,Helium,38423,3,2.4,11,20,,-18,-116,,912,104,700,2026-01-20 17:40:00,37,410,-85,310,44,ios
84:5E:A7:23:CF:10,814,mock-dataset-5,97493,114,D21,20,17,93,Helium,38423,1,2.4,11,30,,-5,-95,,174,104,700,2026-01-20 17:43:00,87,410,-61,310,179,android
D0:79:32:EC:46:8B,714,mock-dataset-5,97493,74,D23,20,16,84,Helium,38423,4,5.0,36,49,,-6,-108,,148,104,700,2026-01-20 17:47:00,68,410,-81,310,149,ios
D0:79:32:EC:46:8B,322,mock-dataset-1,97493,16,C7,20,34,40,Helium,38423,0,5.0,157,2,,-14,-90,,750,104,700,2026-01-20 17:51:00,78,410,-84,310,128,android
D0:79:32:EC:46:8B,946,mock-dataset-2,97493,122,A3,20,15,52,Helium,38423,1,5.0,116,26,,-16,-113,,1157,104,700,2026-01-20 17:54:00,93,410,-63,310,143,ios
D0:79:32:EC:46:8B,758,mock-dataset-2,97493,21,C8,20,23,63,Helium,38423,1,5.0,124,30,,-6,-87,,556,104,700,2026-01-20 17:58:00,103,410,-77,310,142,ios
D0:79:32:EC:46:8B,136,mock-dataset-4,97493,143,D44/D45,20,23,73,Helium,38423,4,5.0,44,22,,-23,-92,,777,104,700,2026-01-20 18:02:00,59,410,-63,310,6,ios
D0:79:32:EC:46:8B,154,mock-dataset-4,97493,198,D25,20,-5,90,Helium,38423,1,5.0,48,7,,-16,-103,,859,215,700,2026-01-20 18:06:00,88,410,-91,310,9,android
BA:57:08:F3:2C:95,333,mock-dataset-1,97493,70,B10,20,11,92,Helium,38423,4,5.0,36,17,,-12,-94,,573,215,700,2026-01-20 18:09:00,96,410,-56,310,63,ios
0D:A2:7E:C1:68:DB,496,mock-dataset-4,97493,172,A8,20,18,90,Helium,38423,4,5.0,157,38,,-6,-103,,266,215,700,2026-01-20 18:13:00,50,410,-50,310,52,android
51:C9:B4:0A:E7:32,162,mock-dataset-1,97493,148,D38/D39,20,56,81,Helium,38423,1,5.0,116,6,,-18,-113,,461,215,700,2026-01-20 18:17:00,34,410,-79,310,76,ios
9E:34:DF:86:4B:C0,1009,mock-dataset-5,97493,124,C7,20,46,79,Helium,38423,3,5.0,124,31,,-7,-103,,811,215,700,2026-01-20 18:20:00,29,410,-72,310,54,android
C2:6B:10:F5:A9:47,1120,mock-dataset-4,97493,50,C14,20,36,50,Helium,38423,1,5.0,44,7,,-24,-111,,390,215,700,2026-01-20 18:24:00,68,410,-68,310,39,android
3F:87:DC:24:91:E6,652,mock-dataset-4,97493,47,A3,20,30,92,Helium,38423,3,5.0,48,42,,-6,-102,,1042,215,700,2026-01-20 18:28:00,51,410,-57,310,61,android
78:A0:45:EB:1C:B9,275,mock-dataset-4,97493,183,D43,20,41,26,Helium,38423,4,5.0,36,23,,-17,-110,,119,215,700,2026-01-20 18:31:00,91,410,-76,310,29,android
4A:7B:C2:9E:1D:F8,673,mock-dataset-3,97492,54,B12,20,47,91,Helium,38423,1,2.4,1,7,39.17615,-11,-89,-76.66945,144,66,700,2026-01-20 16:00:00,65,410,-85,310,136,ios
B3:2E:8A:D4:6F:01,166,mock-dataset-1,97492,121,D16,20,19,94,Helium,38423,0,5.0,36,8,39.17608,-7,-99,-76.66935,638,66,700,2026-01-20 16:04:00,36,410,-89,310,154,android
B3:2E:8A:D4:6F:01,839,mock-dataset-1,97492,79,B7,20,8,79,Helium,38423,4,5.0,157,12,39.176,-17,-114,-76.66925,520,66,700,2026-01-20 16:07:00,41,410,-71,310,105,ios
B3:2E:8A:D4:6F:01,622,mock-dataset-3,97492,-4,A9,20,-5,57,Helium,38423,1,5.0,116,6,39.17593,-17,-106,-76.66915,791,66,700,2026-01-20 16:11:00,67,410,-86,310,145,android
E8:43:B9:0F:72:6C,775,mock-dataset-2,97492,32,B5,20,3,64,Helium,38423,4,5.0,124,37,39.17585,-22,-99,-76.66905,885,66,700,2026-01-20 16:15:00,34,410,-91,310,176,android
5D:1A:F7:C4:38:9B,607,mock-dataset-5,97492,30,C14,20,20,28,Helium,38423,2,5.0,44,53,39.17578,-10,-90,-76.6689,716,66,700,2026-01-20 16:18:00,86,410,-80,310,168,android
A2:6E:85:D1:4C:F0,675,mock-dataset-4,97492,66,A5,20,49,72,Helium,38423,0,5.0,48,22,39.1757,-16,-117,-76.6688,1010,66,700,2026-01-20 16:22:00,60,410,-78,310,42,ios
9B:3F:C8:57:E2:1A,191,mock-dataset-3,97492,126,B13,20,29,46,Helium,38423,1,5.0,36,10,39.17563,-16,-91,-76.66865,975,66,700,2026-01-20 16:26:00,78,410,-71,310,127,ios
9B:3F:C8:57:E2:1A,746,mock-dataset-4,97492,55,D10,20,7,77,Helium,38423,1,5.0,153,33,39.17555,-6,-92,-76.66855,752,66,700,2026-01-20 16:29:00,36,410,-96,310,173,android
9B:3F:C8:57:E2:1A,1183,mock-dataset-3,97492,137,D4,20,13,91,Helium,38423,1,2.4,1,47,39.17548,-9,-114,-76.66845,763,66,700,2026-01-20 16:33:00,90,410,-55,310,8,android
9B:3F:C8:57:E2:1A,415,mock-dataset-1,97492,18,B5,20,9,99,Helium,38423,1,2.4,6,38,39.1754,-13,-114,-76.66835,503,92,700,2026-01-20 16:37:00,104,410,-84,310,107,android
9B:3F:C8:57:E2:1A,1194,mock-dataset-4,97492,139,D5,20,36,66,Helium,38423,0,2.4,11,7,39.17533,-21,-89,-76.66825,1130,92,700,2026-01-20 16:40:00,37,410,-85,310,86,android
F2:8D:46:B1:C9:05,913,mock-dataset-1,97492,133,A7,20,35,59,Helium,38423,4,2.4,11,39,39.17525,-6,-86,-76.66815,457,92,700,2026-01-20 16:44:00,62,410,-78,310,162,android
2A:C7:5E:08:D3:9F,775,mock-dataset-1,97492,41,E6,20,15,85,Helium,38423,4,5.0,36,32,39.17518,-14,-101,-76.66805,809,92,700,2026-01-20 16:48:00,72,410,-70,310,77,ios
85:4B:F6:31:EA:7C,842,mock-dataset-4,97492,36,A3,20,45,73,Helium,38423,2,5.0,157,41,39.17505,-24,-104,-76.6678,121,92,700,2026-01-20 16:51:00,92,410,-92,310,100,ios
D9:02:8F:C5:67:3A,911,mock-dataset-5,97492,11,D8,20,37,70,Helium,38423,0,5.0,116,21,39.17498,-4,-97,-76.6677,854,92,700,2026-01-20 16:55:00,90,410,-80,310,34,ios
41:E8:B3:7D:0A:F6,425,mock-dataset-4,97492,2,D43,20,45,48,Helium,38423,4,5.0,124,30,39.1749,-5,-92,-76.6676,206,92,700,2026-01-20 16:59:00,89,410,-60,310,41,android
41:E8:B3:7D:0A:F6,886,mock-dataset-3,97492,169,C11,20,11,38,Helium,38423,3,5.0,44,46,39.17483,-20,-106,-76.6675,1108,92,700,2026-01-20 17:03:00,38,410,-82,310,100,ios
41:E8:B3:7D:0A:F6,1052,mock-dataset-5,97492,65,A2,20,22,85,Helium,38423,0,5.0,48,16,39.17475,-21,-99,-76.6674,856,92,700,2026-01-20 17:06:00,87,410,-64,310,25,android
41:E8:B3:7D:0A:F6,658,mock-dataset-1,97493,174,C2,20,43,72,Helium,38423,0,2.4,1,11,39.17468,-14,-108,-76.6673,605,92,700,2026-01-20 17:10:00,81,410,-91,310,71,ios
41:E8:B3:7D:0A:F6,870,mock-dataset-2,97493,134,C3,20,20,43,Helium,38423,0,2.4,6,39,39.1746,-4,-92,-76.6672,1034,92,700,2026-01-20 17:14:00,45,410,-69,310,101,ios
EA:36:81:CF:49:5D,1133,mock-dataset-5,97493,187,D30,20,27,80,Helium,38423,0,2.4,11,31,39.17445,-18,-100,-76.66695,509,92,700,2026-01-20 17:17:00,88,410,-75,310,24,ios
58:AD:F2:17:6B:C0,426,mock-dataset-5,97493,41,D26,20,39,55,Helium,38423,3,2.4,11,25,,-19,-102,,178,92,700,2026-01-20 17:21:00,52,410,-73,310,14,android
1C:70:E9:34:A5:8F,728,mock-dataset-2,97493,3,D41,20,35,68,Helium,38423,0,2.4,1,44,,-6,-104,,324,92,700,2026-01-20 17:25:00,95,410,-82,310,5,ios
CF:4A:85:D0:2E:73,984,mock-dataset-4,97493,188,D8,20,13,89,Helium,38423,3,2.4,6,39,,-8,-101,,735,104,700,2026-01-20 17:28:00,82,410,-65,310,110,android
72:B8:1D:69:F4:A6,459,mock-dataset-4,97493,80,E2,20,2,81,Helium,38423,2,2.4,1,24,,-11,-97,,1000,104,700,2026-01-20 17:32:00,70,410,-78,310,78,ios
AE:25:C0:7F:53:D9,1084,mock-dataset-2,97493,65,D10,20,41,61,Helium,38423,2,2.4,6,15,,-18,-91,,749,104,700,2026-01-20 17:36:00,88,410,-75,310,105,ios
39:F1:6C:B8:04:E2,359,mock-dataset-2,97493,85,A13,20,-5,27,Helium,38423,3,2.4,11,7,,-15,-115,,912,104,700,2026-01-20 17:40:00,31,410,-80,310,44,android
84:5E:A7:23:CF:10,814,mock-dataset-5,97493,102,D46/D47,20,16,109,Helium,38423,1,2.4,11,32,,-7,-95,,174,104,700,2026-01-20 17:43:00,84,410,-62,310,185,ios
D0:79:32:EC:46:8B,714,mock-dataset-3,97493,66,A11,20,20,99,Helium,38423,4,5.0,36,44,,-8,-108,,148,104,700,2026-01-20 17:47:00,57,410,-84,310,153,android
D0:79:32:EC:46:8B,322,mock-dataset-2,97493,19,D25,20,42,22,Helium,38423,0,5.0,157,17,,-14,-86,,750,104,700,2026-01-20 17:51:00,80,410,-90,310,128,ios
D0:79:32:EC:46:8B,946,mock-dataset-1,97493,121,C7,20,21,44,Helium,38423,1,5.0,116,35,,-14,-109,,1157,104,700,2026-01-20 17:54:00,92,410,-63,310,138,android
D0:79:32:EC:46:8B,758,mock-dataset-4,97493,25,B2,20,27,51,Helium,38423,1,5.0,124,48,,-6,-88,,556,104,700,2026-01-20 17:58:00,99,410,-73,310,147,ios
D0:79:32:EC:46:8B,136,mock-dataset-1,97493,144,A4,20,14,83,Helium,38423,4,5.0,44,11,,-21,-92,,777,104,700,2026-01-20 18:02:00,48,410,-62,310,8,android
D0:79:32:EC:46:8B,154,mock-dataset-2,97493,197,D8,20,7,80,Helium,38423,1,5.0,48,1,,-19,-100,,859,215,700,2026-01-20 18:06:00,91,410,-86,310,-1,ios
BA:57:08:F3:2C:95,333,mock-dataset-2,97493,84,A5,20,-7,94,Helium,38423,4,5.0,36,18,,-11,-89,,573,215,700,2026-01-20 18:09:00,98,410,-62,310,65,ios
0D:A2:7E:C1:68:DB,496,mock-dataset-3,97493,167,E3,20,15,95,Helium,38423,4,5.0,157,47,,-2,-106,,266,215,700,2026-01-20 18:13:00,58,410,-50,310,56,android
51:C9:B4:0A:E7:32,162,mock-dataset-1,97493,158,E5/E7/E9,20,39,86,Helium,38423,1,5.0,116,14,,-17,-115,,461,215,700,2026-01-20 18:17:00,33,410,-84,310,79,ios
9E:34:DF:86:4B:C0,1009,mock-dataset-4,97493,120,C10,20,42,70,Helium,38423,3,5.0,124,38,,-3,-99,,811,215,700,2026-01-20 18:20:00,39,410,-72,310,60,ios
C2:6B:10:F5:A9:47,1120,mock-dataset-5,97493,43,D24,20,33,62,Helium,38423,1,5.0,44,8,,-27,-110,,390,215,700,2026-01-20 18:24:00,68,410,-67,310,46,android
3F:87:DC:24:91:E6,652,mock-dataset-2,97493,59,C1,20,21,85,Helium,38423,3,5.0,48,32,,-8,-102,,1042,215,700,2026-01-20 18:28:00,49,410,-56,310,54,android
78:A0:45:EB:1C:B9,275,mock-dataset-5,97493,195,C5,20,60,37,Helium,38423,4,5.0,36,24,,-20,-106,,119,215,700,2026-01-20 18:31:00,93,410,-76,310,29,android
4A:7B:C2:9E:1D:F8,673,mock-dataset-4,97492,53,A1,20,56,91,Helium,38423,1,2.4,1,-3,39.17615,-7,-90,-76.66945,144,66,700,2026-01-20 16:00:00,61,410,-80,310,135,android
B3:2E:8A:D4:6F:01,166,mock-dataset-1,97492,123,D23,20,29,91,Helium,38423,0,5.0,36,17,39.17608,-6,-93,-76.66935,638,66,700,2026-01-20 16:04:00,38,410,-87,310,160,android
B3:2E:8A:D4:6F:01,839,mock-dataset-3,97492,73,D4,20,3,74,Helium,38423,4,5.0,157,16,39.176,-18,-113,-76.66925,520,66,700,2026-01-20 16:07:00,23,410,-69,310,113,android
B3:2E:8A:D4:6F:01,622,mock-dataset-4,97492,0,D23,20,11,62,Helium,38423,1,5.0,116,-3,39.17593,-17,-105,-76.66915,791,66,700,2026-01-20 16:11:00,70,410,-88,310,157,ios
E8:43:B9:0F:72:6C,775,mock-dataset-3,97492,28,E2,20,-2,78,Helium,38423,4,5.0,124,40,39.17585,-23,-99,-76.66905,885,66,700,2026-01-20 16:15:00,43,410,-91,310,170,android
5D:1A:F7:C4:38:9B,607,mock-dataset-2,97492,29,D29,20,22,24,Helium,38423,2,5.0,44,45,39.17578,-9,-88,-76.6689,716,66,700,2026-01-20 16:18:00,80,410,-74,310,162,android
A2:6E:85:D1:4C:F0,675,mock-dataset-5,97492,67,A5,20,54,88,Helium,38423,0,5.0,48,11,39.1757,-15,-111,-76.6688,1010,66,700,2026-01-20 16:22:00,52,410,-82,310,39,android
9B:3F:C8:57:E2:1A,191,mock-dataset-2,97492,117,D29,20,31,40,Helium,38423,1,5.0,36,18,39.17563,-20,-89,-76.66865,975,66,700,2026-01-20 16:26:00,85,410,-74,310,121,ios
9B:3F:C8:57:E2:1A,746,mock-dataset-5,97492,48,A3,20,6,77,Helium,38423,1,5.0,153,25,39.17555,-5,-89,-76.66855,752,66,700,2026-01-20 16:29:00,47,410,-96,310,169,ios
9B:3F:C8:57:E2:1A,1183,mock-dataset-2,97492,129,D42,20,0,98,Helium,38423,1,2.4,1,46,39.17548,-13,-112,-76.66845,763,66,700,2026-01-20 16:33:00,75,410,-53,310,-2,android
